"Datum";"Check-in";"Vertrek";"Check-uit";"Bestemming";"Bedrag";"Transactie";"Klasse";"Product";"Opmerkingen";"Naam";"Kaartnummer"
"07-04-2019";"13:35";"Nijmegen";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1234 5678 09"
"07-04-2019";;"Nijmegen";"14:28";"Blerick";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1235 5678 09"
"07-04-2019";"17:25";"Blerick";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1236 5678 09"
"07-04-2019";;"Blerick";"17:38";"Tegelen";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1237 5678 09"
"07-04-2019";"22:20";"Tegelen";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1238 5678 09"
"07-04-2019";;"Tegelen";"23:24";"Nijmegen";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1239 5678 09"
"19-04-2019";"09:37";"Nijmegen";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1244 5678 09"
"19-04-2019";;"Nijmegen";"09:39";"Nijmegen";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1245 5678 09"
"19-04-2019";"09:42";"Nijmegen";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1246 5678 09"
"19-04-2019";;"Nijmegen";"10:33";"Zutphen";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1247 5678 09"
"19-04-2019";"11:19";"Zp P Bernhar";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1248 5678 09"
"19-04-2019";;"Zp P Bernhar";"11:23";"Zutphen, Busstation";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1249 5678 09"
"19-04-2019";"11:29";"Zutphen";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1250 5678 09"
"19-04-2019";;"Zutphen";"11:48";"Deventer";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1251 5678 09"
"19-04-2019";"13:25";"Deventer";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1252 5678 09"
"19-04-2019";;"Deventer";"13:26";"Deventer";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1253 5678 09"
"19-04-2019";"13:26";"Deventer";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1254 5678 09"
"19-04-2019";;"Deventer";"14:10";"Amersfoort";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1255 5678 09"
"19-04-2019";"15:31";"Amersfoort, Stadhuis";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1256 5678 09"
"19-04-2019";;"Amersfoort, Stadhuis";"15:34";"Amersfoort, Centraal Station";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1257 5678 09"
"19-04-2019";"15:35";"Amersfoort";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1258 5678 09"
"19-04-2019";;"Amersfoort";"15:56";"Utrecht Centraal";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1259 5678 09"
"19-04-2019";"17:24";"Utrecht Centraal";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1260 5678 09"
"19-04-2019";;"Utrecht Centraal";"18:19";"Nijmegen";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1261 5678 09"
"20-04-2019";"15:06";"Nijmegen";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1262 5678 09"
"20-04-2019";;"Nijmegen";"15:58";"Blerick";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1263 5678 09"
"20-04-2019";"20:58";"Blerick";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1264 5678 09"
"20-04-2019";;"Blerick";"21:52";"Nijmegen";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1265 5678 09"
"21-04-2019";"16:26";"Nijmegen";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1266 5678 09"
"21-04-2019";;"Nijmegen";"17:39";"Tegelen";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1267 5678 09"
"22-04-2019";"19:48";"Tegelen";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1268 5678 09"
"22-04-2019";;"Tegelen";"19:51";"Tegelen";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1269 5678 09"
"22-04-2019";"20:01";"Tegelen";;;;"Check-in";;"Student Weekend Vrij (2e klas)";;"Your name";"1270 5678 09"
"22-04-2019";;"Tegelen";"21:25";"Nijmegen";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1271 5678 09"
"27-04-2019";;"Nijmegen";"10:05";"Schiphol Airport";;"Check-uit";;"Student Weekend Vrij (2e klas)";;"Your name";"1272 5678 09"
